42413,5201
475647,1465
493464,22764
10954,9534
1994,1978
1896,1881
375674,14634
338363,4372
492769,36023
493319,80918
400938,8485
3120,3086
493334,6450
3897,3858
1251,1243
493609,34395
351,337
581,573
422498,7717
321457,5633
429237,4806
65,63
467981,51814
1266,1232
47,44
82006,5087
28951,2302
834,716
558,548
2306,1990
524,513
396505,27042
1243,869
653,652
874,827
470839,2635
24,24
488965,77709
668,667
493670,4890
540,538
223,212
652,151
1087,1083
3201,3135
1303,1097
2779,2619
490119,61780
493696,12326
2182,2118
150453,20000
373,370
191435,6865
527,369
